,eventTimeStart,eventTimeEnd,latStart,lonStart,latEnd,lonEnd
375,2017-05-24 13:18:05,2017-05-24 13:18:07,47.409291,8.546942,47.423743,8.555213
772,2017-05-24 13:18:09,2017-05-24 13:18:12,47.409291,8.546942,47.423743,8.555213
963,2017-05-24 13:18:17,2017-05-24 13:18:17,47.409291,8.546942,47.423743,8.555213
562,2017-05-24 13:18:29,2017-05-24 13:18:31,47.409291,8.546942,47.423743,8.555213
514,2017-05-24 13:18:35,2017-05-24 13:18:38,47.409291,8.546942,47.423743,8.555213
482,2017-05-24 13:18:46,2017-05-24 13:18:53,47.409291,8.546942,47.423743,8.555213
1498,2017-05-24 13:18:57,2017-05-24 13:18:58,47.409291,8.546942,47.423743,8.555213
1405,2017-05-24 13:19:00,2017-05-24 13:19:01,47.409291,8.546942,47.423743,8.555213
27,2017-05-24 13:19:05,2017-05-24 13:19:05,47.409291,8.546942,47.423743,8.555213
925,2017-05-24 13:19:22,2017-05-24 13:19:22,47.409291,8.546942,47.423743,8.555213
526,2017-05-24 13:19:23,2017-05-24 13:19:24,47.409291,8.546942,47.423743,8.555213
1289,2017-05-24 13:19:27,2017-05-24 13:19:29,47.409291,8.546942,47.423743,8.555213
170,2017-05-24 13:19:31,2017-05-24 13:19:31,47.409291,8.546942,47.423743,8.555213
392,2017-05-24 13:19:37,2017-05-24 13:19:41,47.409291,8.546942,47.423743,8.555213
1499,2017-05-24 13:19:42,2017-05-24 13:19:45,47.409291,8.546942,47.423743,8.555213
308,2017-05-24 13:19:53,2017-05-24 13:19:55,47.409291,8.546942,47.423743,8.555213
1070,2017-05-24 13:20:01,2017-05-24 13:20:03,47.409291,8.546942,47.423743,8.555213
970,2017-05-24 13:20:05,2017-05-24 13:20:11,47.409291,8.546942,47.423743,8.555213
942,2017-05-24 13:20:17,2017-05-24 13:20:19,47.409291,8.546942,47.423743,8.555213
120,2017-05-24 13:20:23,2017-05-24 13:20:27,47.409291,8.546942,47.423743,8.555213
448,2017-05-24 13:20:28,2017-05-24 13:20:29,47.409291,8.546942,47.423743,8.555213
10,2017-05-24 13:20:31,2017-05-24 13:20:36,47.409291,8.546942,47.423743,8.555213
156,2017-05-24 13:20:39,2017-05-24 13:20:41,47.409291,8.546942,47.423743,8.555213
488,2017-05-24 13:20:42,2017-05-24 13:20:47,47.409291,8.546942,47.423743,8.555213
1382,2017-05-24 13:20:51,2017-05-24 13:20:52,47.409291,8.546942,47.423743,8.555213
503,2017-05-24 13:21:07,2017-05-24 13:21:11,47.409291,8.546942,47.423743,8.555213
215,2017-05-24 13:21:16,2017-05-24 13:21:16,47.409291,8.546942,47.423743,8.555213
163,2017-05-24 13:21:19,2017-05-24 13:21:21,47.409291,8.546942,47.423743,8.555213
